Date,Adjusted Close,Linear Regression,LSTM,Random Forest Regressor
2022-04-29,157.200348,156.8587241,162.61797,157.3893273
2022-05-02,157.50946,157.1291669,157.85294,156.9614099
2022-05-03,159.025131,158.4552281,157.80086,158.9651705
2022-05-04,165.546494,164.1607718,158.91554,165.43859
2022-05-05,156.322876,156.0910234,164.42049,156.4484189
2022-05-06,157.061829,156.7375335,156.71132,156.776145
2022-05-09,151.849075,152.1768926,157.0442,151.5174055
2022-05-10,154.29567,154.3174193,152.89471,154.0238833
2022-05-11,146.296783,147.3191892,154.56802,145.9300619
2022-05-12,142.362244,143.876858,148.63055,142.7354627
2022-05-13,146.905945,147.8521448,144.95897,145.8934987
2022-05-16,145.33812,146.4804535,147.55664,145.0916811
2022-05-17,149.03299,149.7130975,146.91365,148.7041174
2022-05-18,140.62468,142.3566622,149.3673,142.0885109
2022-05-19,137.159485,139.3249613,143.45969,139.135671
2022-05-20,137.399139,139.5346352,139.78537,139.135671
2022-05-23,142.911484,144.3573885,138.98082,141.9827796
2022-05-24,140.165298,141.9547494,142.6008,139.7628098
2022-05-25,140.325089,142.0945498,141.61374,140.0044734
2022-05-26,143.580551,144.9427559,141.32231,142.5411709
2022-05-27,149.432434,150.0625718,143.48325,148.5601035
2022-05-31,148.633545,149.3636232,148.21323,148.3282314
2022-06-01,148.503723,149.250042,148.547,148.2809629
2022-06-02,151.000259,151.434263,148.29916,150.5659569
2022-06-03,145.178345,146.3406665,150.16408,145.1365262
2022-06-06,145.937286,147.004665,146.25307,145.6502211
2022-06-07,148.503723,149.250042,146.23354,147.7390079
2022-06-08,147.754776,148.5947877,148.24463,147.6385849
2022-06-09,142.442139,143.9467582,148.19421,143.2268538
2022-06-10,136.939789,139.1327491,144.33897,139.135671
2022-06-13,131.697067,134.5458889,139.77808,139.135671
2022-06-14,132.575836,135.3147244,135.23793,139.135671
2022-06-15,135.242142,137.6474767,134.52704,139.135671
2022-06-16,129.879593,132.9557795,136.08789,139.135671
2022-06-17,131.377502,134.2663015,133.09033,139.135671
2022-06-21,135.681534,138.0319011,132.8658,139.135671
2022-06-22,135.162262,137.5775898,135.50365,139.135671
2022-06-23,138.078201,140.1287468,135.97609,139.135671
2022-06-24,141.463501,143.0905475,137.81693,140.7586024
2022-06-27,141.463501,143.0905475,140.61499,141.0578861
2022-06-28,137.249359,139.4035923,141.3599,139.2450909
2022-06-29,139.036865,140.9674825,138.62071,139.135671
2022-06-30,136.53035,138.7745306,139.09735,139.135671
2022-07-01,138.737274,140.7053701,137.67867,139.135671
2022-07-05,141.363632,143.0031723,138.85881,140.2485089
2022-07-06,142.721756,144.1913956,141.11961,142.2929492
2022-07-07,146.147003,147.1881463,142.6904,145.3226586
2022-07-08,146.836029,147.7909755,145.48682,146.2213277
2022-07-11,144.669037,145.8950727,146.58246,144.7701825
2022-07-12,145.657669,146.7600276,145.13841,145.5072498
2022-07-13,145.288193,146.4367726,145.54645,144.4117153
2022-07-14,148.264053,149.0403548,145.48882,147.1197452
2022-07-15,149.9617,150.5256272,147.73584,149.5191432
2022-07-18,146.865997,147.8171947,149.5614,146.640631
2022-07-19,150.790543,151.2507817,147.58475,150.352359
2022-07-20,152.827713,153.0331033,150.17973,152.4227083
2022-07-21,155.134521,155.0513314,152.2634,154.3700501
2022-07-22,153.876251,153.95047,154.35693,153.7210068
2022-07-25,152.737839,152.9544722,153.597,152.4977477
2022-07-26,151.389725,151.7750065,152.64603,151.0498498
2022-07-27,156.57251,156.3094282,151.57545,155.9039046
2022-07-28,157.131744,156.7987029,155.62546,156.9578753
2022-07-29,162.284576,161.3069186,156.638,162.1065731
2022-08-01,161.285965,160.4332329,160.94371,161.1681868
2022-08-02,159.78804,159.1226976,160.37436,159.587436
2022-08-03,165.899567,164.4696757,159.06601,165.6633506
2022-08-04,165.580002,164.1900882,164.24083,165.3524193
2022-08-05,165.350006,163.9888648,164.16423,165.0817474
2022-08-08,164.869995,163.568903,163.99196,164.5377055
2022-08-09,164.919998,163.6126507,163.67755,164.5416173
2022-08-10,169.240005,167.3922276,163.8808,168.7503643
2022-08-11,168.490005,166.7360522,167.79924,168.2829597
2022-08-12,172.100006,169.8944438,167.09799,171.5534487
